K2-087,5406,168,168,-1,-1,-1,0.947,0.057,0.057,0.930,0.290,0.290,4.470,0.180,0.180,-1,-1,-1,9.727,-1,-1,-1,0.088,0.002,0.002,-1,-1,-1,0.410,0.133,0.133,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-088,3537,93,93,-1,-1,-1,0.258,0.066,0.066,0.256,0.049,0.049,5.022,0.067,0.067,-1,-1,-1,4.612,-1,-1,-1,0.034,0.003,0.003,-1,-1,-1,0.110,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-089,3691,51,51,-1,-1,-1,0.347,0.036,0.036,0.318,0.033,0.033,4.965,0.050,0.050,-1,-1,-1,1.096,-1,-1,-1,0.015,0.001,0.001,-1,-1,-1,0.055,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-090b,4136,164,164,-1,-1,-1,0.562,0.071,0.071,0.494,0.070,0.070,4.791,0.066,0.066,-1,-1,-1,13.731,-1,-1,-1,0.093,0.004,0.004,-1,-1,-1,0.182,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-090c,4136,164,164,-1,-1,-1,0.562,0.071,0.071,0.494,0.070,0.070,4.791,0.066,0.066,-1,-1,-1,2.900,-1,-1,-1,0.033,0.001,0.001,-1,-1,-1,0.091,0.016,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016ApJS..226....7C,2016ApJS..226....7C
K2-131b,5245,46,52,-0.17,0.03,0.03,0.840,0.010,0.010,0.750,0.010,0.010,4.610,0.010,0.010,1.700,0.400,0.600,0.369,-1,-1,-1,0.00950,0.00005,0.00005,-1,-1,-1,0.152,0.008,0.004,-1,-1,-1,-1,-1,-1,2062,23,23,2018AJ....156...78L,2018AJ....156...78L
K2-140b,5705,50,48,0.13,0.04,0.04,1.000,0.020,0.020,0.990,0.010,0.010,4.450,0.010,0.010,1.100,0.000,0.100,6.569,-1,-1,-1,0.06870,0.00050,0.00050,-1,-1,-1,1.093,0.015,0.015,-1,-1,-1,-1,-1,-1,957,11,11,2018AJ....156...78L,2018AJ....156...78L
K2-152b,4044,34,35,0.12,0.09,0.08,0.630,0.010,0.010,0.610,0.010,0.010,4.670,0.010,0.010,2.600,0.400,0.400,32.648,-1,-1,-1,0.17160,0.00120,0.00120,-1,-1,-1,0.204,0.022,0.021,-1,-1,-1,-1,-1,-1,337,3,3,2018AJ....156...78L,2018AJ....156...78L
K2-153b,3845,37,37,-0.09,0.08,0.08,0.550,0.010,0.010,0.530,0.010,0.010,4.730,0.010,0.010,3.100,2.700,2.000,7.516,-1,-1,-1,0.06140,0.00040,0.00040,-1,-1,-1,0.178,0.019,0.016,-1,-1,-1,-1,-1,-1,497,6,6,2018AJ....156...78L,2018AJ....156...78L
K2-154b,4097,40,45,0.21,0.09,0.10,0.650,0.020,0.010,0.630,0.010,0.010,4.650,0.010,0.010,3.000,1.400,1.800,3.676,-1,-1,-1,0.04050,0.00030,0.00030,-1,-1,-1,0.178,0.019,0.010,-1,-1,-1,-1,-1,-1,715,9,8,2018AJ....156...78L,2018AJ....156...78L
K2-154c,4097,40,45,0.21,0.09,0.10,0.650,0.020,0.010,0.630,0.010,0.010,4.650,0.010,0.010,3.300,1.300,1.800,7.955,-1,-1,-1,0.06770,0.00050,0.00050,-1,-1,-1,0.185,0.016,0.012,-1,-1,-1,-1,-1,-1,552,7,7,2018AJ....156...78L,2018AJ....156...78L
K2-156b,4597,50,50,-0.25,0.06,0.06,0.660,0.020,0.010,0.660,0.010,0.010,4.620,0.020,0.010,1.400,0.700,0.700,0.813,-1,-1,-1,0.01490,0.00010,0.00010,-1,-1,-1,0.103,0.009,0.006,-1,-1,-1,-1,-1,-1,1347,18,19,2018AJ....156...78L,2018AJ....156...78L
K2-158b,5503,51,48,0.07,0.07,0.07,0.920,0.030,0.020,0.950,0.020,0.020,4.450,0.020,0.020,0.900,0.300,0.500,10.060,-1,-1,-1,0.08870,0.00080,0.00080,-1,-1,-1,0.236,0.014,0.009,-1,-1,-1,-1,-1,-1,794,11,11,2018AJ....156...78L,2018AJ....156...78L
K2-158c,5503,51,48,0.07,0.07,0.07,0.920,0.030,0.020,0.950,0.020,0.020,4.450,0.020,0.020,0.600,0.400,0.300,5.903,-1,-1,-1,0.06220,0.00060,0.00060,-1,-1,-1,0.114,0.012,0.009,-1,-1,-1,-1,-1,-1,948,13,13,2018AJ....156...78L,2018AJ....156...78L
K2-159b,5425,44,44,-0.07,0.06,0.06,0.900,0.020,0.030,0.830,0.010,0.010,4.560,0.010,0.020,1.900,0.900,1.100,12.422,-1,-1,-1,0.10130,0.00080,0.00090,-1,-1,-1,0.202,0.015,0.010,-1,-1,-1,-1,-1,-1,684,8,8,2018AJ....156...78L,2018AJ....156...78L
K2-162b,4842,49,45,-0.17,0.05,0.06,0.750,0.020,0.020,0.690,0.010,0.010,4.630,0.010,0.010,2.000,0.700,1.000,9.459,-1,-1,-1,0.07950,0.00060,0.00060,-1,-1,-1,0.128,0.010,0.006,-1,-1,-1,-1,-1,-1,631,8,8,2018AJ....156...78L,2018AJ....156...78L
