System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
EPIC_249631677,TEP,15,12,05.19,-20,06,30.6,17.67,11.84,0.0342,0.2,2457990.8620,0.0011,3.1443189,0.0000049,2020AJ....160..172N
G_9-40,TEP,08,58,52.33,+21,04,34.2,13.82,9.19,0.0705,0.37,2459503.32682,0.00042,5.7459982,0.0000020,2022A+A...666A.154L
Gaia-001,TEP,06,02,34.47,-00,34,37.0,13.24,11.27,0.092,1.3,2458468.18524,0.00057,3.052524,0.000017,2022A+A...663A.101P
Gaia-002,TEP,07,22,56.46,+67,15,09.2,11.28,9.74,0.092,1.7,2458843.98875,0.00019,3.6915237,0.0000035,2022A+A...663A.101P
GJ_0012,TEP,00,15,49.24,+13,33,22.3,12.60,7.81,0.050,0.1,2459497.1871,0.0023,12.761416,0.000045,2025AJ....170..335B
GJ_0238,TEP,06,33,49.15,-58,31,29.7,11.57,7.03,0.0516,0.1,2458326.98222,0.00067,1.7446999,0.0000019,2024AJ....167..283T
GJ_0341,TEP,09,21,37.60,-60,16,55.0,9.47,5.59,0.0929,0.03,2459301.771,0.002,7.576860,0.000027,2025ApJ...979..214D
GJ_0357,TEP,09,36,01.64,-21,39,38.9,10.91,6.48,0.053,0.1,2459272.6757,0.0004,3.93060,0.00002,2023AJ....165..134O
GJ_0367,TEP,09,44,29.84,-45,46,35.4,9.98,5.78,0.0262,0.02,2458543.81414,0.00018,0.3219226,0.0000001,arXiv:2606.18355
GJ_0436,TEP,11,42,11.09,+26,42,23.6,10.68,6.07,0.04189,0.6,2455475.82450,0.00003,2.64389759,0.00000007,2022MNRAS.514...77M
GJ_0486,TEP,12,47,56.62,+09,45,05.0,11.40,6.36,0.04233,0.13,2459691.128107,0.000057,1.46712127,0.00000033,2024ApJ...975L..22W
GJ_0523,TEP,13,43,23.08,+39,14,56.9,9.24,6.53,0.119,0.1,2460397.0239,0.0011,17.745740,0.000045,arXiv:2603.24682
GJ_0806,TEP,20,45,04.10,+44,29,56.6,10.70,6.53,0.0388,0.1,2459445.57371,0.00015,0.9263237,0.0000009,2023A+A...678A..80P
GJ_1132,TEP,10,14,51.85,-47,09,24.5,13.49,8.32,0.0326,0.3,2457554.32450,0.00009,1.6289292,0.0000004,2022MNRAS.514...77M
GJ_1214,TEP,17,15,18.94,+04,57,49.7,14.67,8.78,0.03624,1.7,2459639.781262,0.000009,1.58040453,0.00000001,2024ApJ...963L..37M
GJ_1252,TEP,20,27,42.08,-56,27,25.2,12.19,7.92,0.0302,0.08,2458668.09748,0.00032,0.51824160,0.00000069,2022ApJ...937L..17C
GJ_3090,TEP,01,21,45.39,-46,42,51.8,11.40,7.29,0.0539,0.15,2458356.15322,0.00023,2.85310198,0.00000082,arXiv:2601.09330
GJ_3470,TEP,07,59,05.87,+15,23,29.4,12.27,7.99,0.07992,0.7,2456340.72559,0.00010,3.33665266,0.00000030,2022ApJ...931L..15S
GJ_3473,TEP,08,02,22.88,+03,20,19.7,13.69,8.83,0.043,0.1,2458491.70415,0.00041,1.19800484,0.00000053,arXiv:2604.02332
GJ_3929,TEP,15,58,18.80,+35,24,24.3,12.68,7.87,0.0495,0.1,2459320.05808,0.00019,2.6162745,0.0000003,2022A+A...659A..17K
GJ_9827b,TEP,23,27,04.84,-01,17,10.6,10.51,7.19,0.06792,0.06,2457738.8259,0.0005,1.208974,0.000001,2024A+A...684A..22P
GJ_9827c,TEP,23,27,04.84,-01,17,10.6,10.51,7.19,0.09125,0.04,2457742.2000,0.0014,3.648103,0.000012,2024A+A...684A..22P
GJ_9827d,TEP,23,27,04.84,-01,17,10.6,10.51,7.19,0.06667,0.08,2460265.10196,0.00006,6.201830,0.000003,2024ApJ...974L..10P
GPX-1,BD,02,33,28.61,+56,01,32.6,12.27,11.18,0.087,0.90,2458770.23820,0.00040,1.7445772,0.0000009,2025ApJ...986..121W
HAT-P-01,TEP,22,57,46.83,+38,40,29.8,10.4,8.86,0.11875,1.7,2454363.94778,0.00013,4.46530031,0.00000018,2024MNRAS.530.2475Y
HAT-P-02,TEP,16,20,36.36,+41,02,53.1,8.71,7.60,0.1787,0.6,2458956.23792,0.00013,5.6334665,0.0000014,2023ApJS..268....2S
HAT-P-03,TEP,13,44,22.59,+48,01,43.2,11.86,9.45,0.08646,1.5,2457150.39472,0.00058,2.89973838,0.00000027,2018A+A...613A..41M
HAT-P-04,TEP,15,19,57.93,+36,13,46.9,11.00,9.77,0.1775,0.9,2454245.81521,0.00020,3.0565254,0.0000012,2012PASP..124..212S
HAT-P-05,TEP,18,17,37.30,+36,37,16.9,12.00,10.48,0.1217,1.5,2455432.45510,0.00010,2.78847360,0.00000052,2012MNRAS.422.3099S
HAT-P-06,TEP,23,39,05.81,+42,27,57.5,10.54,9.31,0.1461,1.0,2458740.18795,0.00034,3.8529972,0.0000016,2024ApJS..274...13S
HAT-P-07,TEP,19,28,59.36,+47,58,10.3,10.46,9.33,0.16430,0.67,2454954.358557,0.000006,2.20473539,0.00000001,2021MNRAS.503.4092B
HAT-P-08,TEP,22,52,09.86,+35,26,49.6,10.30,8.95,0.1587,0.7,2454437.6742,0.0014,3.0763458,0.0000024,2013A+A...551A..11M
HAT-P-09,TEP,07,20,40.48,+37,08,26.2,12.30,11.02,0.143,1.3,2454417.9084,0.0006,3.922814,0.000002,2012NewA...17..438D
HAT-P-11,TEP,19,50,50.25,+48,04,51.1,9.47,7.01,0.0980,0.43,2454957.813207,0.000005,4.88780244,0.00000003,2024A+A...686A.127B
HAT-P-12,TEP,13,57,33.47,+43,29,36.8,12.8,10.11,0.0974,2.0,2456446.635829,0.000036,3.21305766,0.00000013,2018A+A...620A.142A
HAT-P-13,TEP,08,39,31.81,+47,21,07.3,10.62,8.97,0.1345,0.8,2456316.79044,0.00012,2.91624121,0.00000016,2024MNRAS.530.2475Y
HAT-P-14,TEP,17,20,27.87,+38,14,31.9,10.0,8.85,0.0907,0.5,2459729.706791,0.000094,4.6276594,0.0000010,2023PASP..135a8002E
HAT-P-15,TEP,04,24,59.52,+39,27,38.2,12.16,9.64,0.2285,1.3,2454638.56019,0.00048,10.863502,0.000037,2010ApJ...724..866K
HAT-P-16,TEP,00,38,17.56,+42,27,47.0,10.8,9.55,0.1276,1.0,2456204.604299,0.000069,2.77596727,0.00000009,2024MNRAS.530.2475Y
