NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-1065 c,,0.0340815,2.37030743,2454966.675,,,0.000270602,,0.143,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1464 c,,0.0600955,5.32786292,2454966.548,,,0.0000765625,,0.089,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-340 c,,0.157474,22.824669,2454977.46616,,0.12,,,0.300651,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-682 b,,0.103131,12.61190667,2455013.892,,,0.00583085,,0.658,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-507 b,,0.0480157,3.56809693,2455002.744,,,0.00008464,,0.116,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-257 b,,0.0349126,2.382667,2455003.6633,,0.09,,,0.232849,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
K2-95 b,,0.0652569,10.13389,2457171.1477,,,0.00618,88.77,0.314482,,Obermeier 2016,http://adsabs.harvard.edu/abs/2016AJ....152..223O,Obermeier 2016,http://adsabs.harvard.edu/abs/2016AJ....152..223O
HATS-34 b,0.930265,0.0316765,2.1061607,2456634.85732,152,0.937,0.0225,82.28,1.46283,0.4,de Val-Borro 2016,http://adsabs.harvard.edu/abs/2016AJ....152..161D,de Val-Borro 2016,http://adsabs.harvard.edu/abs/2016AJ....152..161D
Kepler-976 b,,0.418342,105.9564148,2455015.054,,,0.00192545,,0.353,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-10 b,3.19034,0.0384536,3.0927616,2454664.037295,520.1,0.299,0.02525,88.49,1.08,3.11,Johnson 2009,http://adsabs.harvard.edu/abs/2009ApJ...692L.100J,Johnson 2009,http://adsabs.harvard.edu/abs/2009ApJ...692L.100J
Kepler-982 b,,0.129335,15.7738221,2454970.531,,,0.000264388,,0.201,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-17 b,0.507667,0.0499354,3.735433,2454559.18096,59.2,0.4,0.01672,86.63,1.932,0.1915,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
HAT-P-17 b,0.530106,0.0882385,10.338523,2454801.16945,58.4,0.311,0.015264,89.2,1.01,0.64,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H
Kepler-162 b,,0.0710671,6.919798,2454967.11914,,0.27,,,0.11241,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-487 c,,0.216804,38.6519976,2454997.049,,,0.000762312,,0.239,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-293 c,,0.280136,54.155743,2455005.36515,,0.91,,,0.34169,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
