Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
GJ_0436,3416,54.0,54.0,-0.03,0.2,0.2,0.507,0.071,0.062,0.455,0.018,0.018,4.83,0.03,0.03,5.37,0.3,0.27,0.1616,0.0041,0.0032,0.0308,0.0013,0.0012,0.0799,0.0066,0.0063,0.366,0.014,0.014,13.0,1.0,1.0,1.55,0.12,0.1,669.0,22.0,22.0,2007A+A...472L..13G,2014A+A...572A..73L,TEP,11,42,11.09,26,42,23.6,10.68,6.07,0.04189,0.6,2455475.8245,3e-05,2.64389759,7e-08,2022MNRAS.514...77M,0.848
GJ_0486,3317,36.0,37.0,-0.15,0.13,0.12,0.312,0.0079,0.0069,0.3243,0.0044,0.0034,4.911,0.007,0.011,9.18,0.18,0.35,0.0009,0.0016,0.0004,0.01714,0.00013,0.00013,0.0087,0.0002,0.0002,0.115,0.0017,0.0012,15.63,0.44,0.5,5.02,0.17,0.22,696.0,7.0,7.0,2021Sci...371.1038T,2024ApJ...975L..22W,TEP,12,47,56.62,9,45,5.0,11.4,6.36,0.04233,0.13,2459691.128107,5.7e-05,1.46712127,3.3e-07,2024ApJ...975L..22W,
GJ_0523,4660,50.0,50.0,-0.193,0.08,0.08,0.781,0.029,0.029,0.702,0.03,0.03,4.62,0.1,0.1,2.26,0.32,0.28,0.143,0.069,0.063,0.1226,0.0015,0.0015,0.074,0.01,0.01,0.227,0.013,0.013,,,,5.9,1.5,1.2,538.0,13.0,13.0,arXiv:2603.24682,arXiv:2603.24682,TEP,13,43,23.08,39,14,56.9,9.24,6.53,0.119,0.1,2460397.0239,0.0011,17.74574,4.5e-05,arXiv:2603.24682,0.67
GJ_0806,3600,16.0,16.0,-0.28,0.07,0.07,0.413,0.011,0.011,0.4144,0.0038,0.0038,4.98,0.12,0.12,6.09,0.32,0.33,,,,0.01406,0.0003,0.0003,0.006,0.0005,0.0005,0.1187,0.0021,0.0021,10.4,1.0,1.0,3.32,0.34,0.34,940.0,10.0,10.0,2023A+A...678A..80P,2023A+A...678A..80P,TEP,20,45,4.1,44,29,56.6,10.7,6.53,0.0388,0.1,2459445.57371,0.00015,0.9263237,9e-07,2023A+A...678A..80P,
GJ_1132,3270,140.0,140.0,-0.12,0.15,0.15,0.181,0.019,0.019,0.2105,0.0102,0.0085,,,,19.4,2.6,2.5,0.0,0.19,0.0,0.0153,0.0005,0.0005,0.0053,0.0005,0.0005,0.1008,0.005,0.005,12.9,2.2,2.2,4.7,1.0,1.0,529.0,9.0,9.0,2015Natur.527..204B,arXiv:2604.07447,TEP,10,14,51.85,-47,9,24.5,13.49,8.32,0.0326,0.3,2457554.3245,9e-05,1.6289292,4e-07,2022MNRAS.514...77M,0.38
GJ_1214,3101,43.0,43.0,0.24,0.11,0.11,0.182,0.0042,0.0041,0.2162,0.0025,0.0024,5.0286,0.0078,0.0088,18.0,0.44,0.5,0.0062,0.0079,0.0044,0.01505,0.00011,0.00011,0.0265,0.0011,0.0011,0.2438,0.0029,0.0028,11.04,0.49,0.47,1.7,0.08,0.08,567.0,8.0,8.0,2009Natur.462..891C,2024ApJ...963L..37M,TEP,17,15,18.94,4,57,49.7,14.67,8.78,0.03624,1.7,2459639.781262,9e-06,1.58040453,1e-08,2024ApJ...963L..37M,0.0
GJ_1252,3458,140.0,133.0,0.1,0.1,0.1,0.381,0.019,0.019,0.391,0.02,0.02,,,,,,,0.2,0.11,0.1,0.00916,0.00076,0.00076,0.0048,0.0006,0.0006,0.1053,0.007,0.007,,,,,,,997.0,53.0,49.0,2020ApJ...890L...7S,arXiv:2604.07447,TEP,20,27,42.08,-56,27,25.2,12.19,7.92,0.0302,0.08,2458668.09748,0.00032,0.5182416,6.9e-07,2022ApJ...937L..17C,0.44
GJ_3090,3556,70.0,70.0,0.03,0.08,0.08,0.519,0.013,0.013,0.516,0.016,0.016,,,,3.79,0.38,0.38,0.0,0.25,0.0,0.0316,0.0003,0.0003,0.0142,0.0014,0.0014,0.1945,0.0054,0.0054,,,,1.81,0.25,0.23,723.0,13.0,13.0,2022A+A...665A..91A,arXiv:2601.09330,TEP,1,21,45.39,-46,42,51.8,11.4,7.29,0.0539,0.15,2458356.15322,0.00023,2.85310198,8.2e-07,arXiv:2601.09330,0.631
GJ_3470,3577,19.0,51.0,0.42,0.019,0.019,0.476,0.019,0.019,0.513,0.014,0.008,4.678,0.04,0.041,3.39,0.3,0.32,0.017,0.016,0.012,0.03557,0.00096,0.001,0.035,0.003,0.003,0.388,0.017,0.013,5.73,0.59,0.58,0.596,0.074,0.076,673.0,10.0,13.0,2012A+A...546A..27B,2026MNRAS.545f2063M,TEP,7,59,5.87,15,23,29.4,12.27,7.99,0.07992,0.7,2456340.72559,0.0001,3.33665266,3e-07,2022ApJ...931L..15S,0.44
GJ_3473,3347,54.0,54.0,0.11,0.19,0.19,0.36,0.016,0.016,0.364,0.012,0.012,4.81,0.06,0.06,7.75,0.47,0.49,0.0,,,0.01589,0.00062,0.00062,0.0059,0.0009,0.0009,0.1128,0.0045,0.0044,11.4,2.1,2.0,3.79,0.81,0.7,773.0,16.0,15.0,2020A+A...642A.236K,2020A+A...642A.236K,TEP,8,2,22.88,3,20,19.7,13.69,8.83,0.043,0.1,2458491.70415,0.00041,1.19800484,5.3e-07,arXiv:2604.02332,
GJ_3929,3369,51.0,51.0,0.0,0.16,0.16,0.309,0.014,0.014,0.315,0.01,0.01,4.84,0.04,0.04,10.6,0.33,0.42,0.043,0.03,0.021,0.02569,0.00088,0.00088,0.0036,0.0003,0.0003,0.0972,0.0036,0.0036,9.0,3.1,3.1,3.3,1.2,1.2,569.0,9.0,9.0,2022A+A...659A..17K,2025ApJ...995L..52X,TEP,15,58,18.8,35,24,24.3,12.68,7.87,0.0495,0.1,2459320.05808,0.00019,2.6162745,3e-07,2022A+A...659A..17K,0.108
GJ_9827b,4236,12.0,12.0,-0.29,0.03,0.03,0.62,0.04,0.04,0.58,0.03,0.03,4.7,0.05,0.05,3.47,0.27,0.73,0.0,,,0.0189,0.0004,0.0004,0.0138,0.0011,0.001,0.1285,0.008,0.0062,,,,5.9,1.1,1.1,1035.0,29.0,29.0,2017AJ....154..266N,2024A+A...684A..22P,TEP,23,27,4.84,-1,17,10.6,10.51,7.19,0.06792,0.06,2457738.8259,0.0005,1.208974,1e-06,2024A+A...684A..22P,0.493
GJ_9827c,4236,12.0,12.0,-0.29,0.03,0.03,0.62,0.04,0.04,0.58,0.03,0.03,4.7,0.05,0.05,3.47,0.27,0.73,0.0,,,0.0395,0.0009,0.0009,0.0059,0.0012,0.0012,0.1008,0.0062,0.0056,,,,5.4,1.4,1.4,716.0,20.0,20.0,2017AJ....154..266N,2024A+A...684A..22P,TEP,23,27,4.84,-1,17,10.6,10.51,7.19,0.09125,0.04,2457742.2,0.0014,3.648103,1.2e-05,2024A+A...684A..22P,0.469
GJ_9827d,4236,12.0,12.0,-0.29,0.03,0.03,0.62,0.04,0.04,0.58,0.03,0.03,4.7,0.05,0.05,3.47,0.27,0.73,0.0,,,0.0563,0.0012,0.0012,0.0095,0.0018,0.0018,0.177,0.01,0.011,,,,1.9,0.5,0.5,675.0,14.0,12.0,2017AJ....154..266N,2024ApJ...974L..10P,TEP,23,27,4.84,-1,17,10.6,10.51,7.19,0.06667,0.08,2460265.10196,6e-05,6.20183,3e-06,2024ApJ...974L..10P,0.896
HAT-P-01,5975,50.0,50.0,0.13,0.05,0.05,1.151,0.019,0.019,1.174,0.026,0.027,4.359,0.014,0.014,0.644,0.013,0.016,0.0,,,0.05561,0.00082,0.00083,0.525,0.019,0.019,1.319,0.019,0.019,7.46,0.17,0.17,0.213,0.008,0.007,1322.0,14.0,15.0,2007ApJ...656..552B,2014MNRAS.437...46N,TEP,22,57,46.83,38,40,29.8,10.4,8.86,0.11875,1.7,2454363.94778,0.00013,4.46530031,1.8e-07,2024MNRAS.530.2475Y,0.712
HAT-P-02,6290,60.0,60.0,0.14,0.08,0.08,1.279,0.046,0.046,1.68,0.15,0.15,4.092,0.074,0.074,0.268,0.07,0.07,0.5091,0.0005,0.0005,0.0674,0.00081,0.00081,9.02,0.1,0.1,1.19,0.12,0.12,152.0,30.0,30.0,5.1,1.5,1.5,1516.0,66.0,66.0,2007ApJ...670..826B,2023AJ....166..136D,TEP,16,20,36.36,41,2,53.1,8.71,7.6,0.1787,0.6,2458956.23792,0.00013,5.6334665,1.4e-06,2023ApJS..268....2S,0.395
HAT-P-03,5190,80.0,80.0,0.24,0.08,0.08,0.925,0.045,0.045,0.85,0.023,0.023,4.545,0.023,0.023,1.51,0.11,0.11,0.0,,,0.03878,0.00065,0.00065,0.595,0.024,0.024,0.911,0.034,0.034,17.8,1.2,1.2,0.735,0.075,0.075,1170.0,17.0,17.0,2007ApJ...666L.121T,2018A+A...613A..41M,TEP,13,44,22.59,48,1,43.2,11.86,9.45,0.08646,1.5,2457150.39472,0.00058,2.89973838,2.7e-07,2018A+A...613A..41M,0.51
HAT-P-04,6036,46.0,46.0,0.277,0.007,0.007,1.271,0.12,0.07,1.6,0.116,0.041,4.134,0.017,0.038,0.31,0.016,0.041,0.0,,,0.04465,0.0014,0.00082,0.68,0.046,0.029,1.337,0.079,0.035,9.42,0.44,0.91,0.266,0.018,0.038,1691.0,46.0,26.0,2007ApJ...670L..41K,2011MNRAS.417.2166S,TEP,15,19,57.93,36,13,46.9,11.0,9.77,0.1775,0.9,2454245.81521,0.0002,3.0565254,1.2e-06,2012PASP..124..212S,0.01
HAT-P-05,5960,100.0,100.0,0.24,0.15,0.15,1.163,0.069,0.069,1.137,0.033,0.033,4.392,0.02,0.03,0.791,0.05,0.05,0.0,,,0.04079,0.0008,0.0008,1.06,0.11,0.11,1.252,0.043,0.043,16.7,1.9,1.9,0.504,0.067,0.067,1517.0,29.0,29.0,2007ApJ...671L.173B,2012MNRAS.422.3099S,TEP,18,17,37.3,36,37,16.9,12.0,10.48,0.1217,1.5,2455432.4551,0.0001,2.7884736,5.2e-07,2012MNRAS.422.3099S,0.425
HAT-P-06,6570,80.0,80.0,-0.13,0.08,0.08,1.295,0.068,0.068,1.518,0.071,0.071,4.188,0.035,0.035,0.37,0.045,0.045,0.0,,,0.05244,0.00092,0.00092,1.063,0.057,0.057,1.395,0.081,0.081,13.5,1.6,1.6,0.366,0.064,0.064,1704.0,40.0,40.0,2008ApJ...673L..79N,2012MNRAS.426.1291S,TEP,23,39,5.81,42,27,57.5,10.54,9.31,0.1461,1.0,2458740.18795,0.00034,3.8529972,1.6e-06,2024ApJS..274...13S,0.602
HAT-P-07,6310,15.0,15.0,0.32,0.04,0.04,1.59,0.03,0.03,2.02,0.01,0.01,4.029,0.003,0.003,0.1919,0.0025,0.0025,0.0016,0.0034,0.001,0.03805,0.00036,0.00036,1.87,0.03,0.03,1.526,0.008,0.008,20.77,0.33,0.33,0.5,0.01,0.01,2194.0,27.0,27.0,2008ApJ...680.1450P,2014PASJ...66...94B,TEP,19,28,59.36,47,58,10.3,10.46,9.33,0.1643,0.67,2454954.358557,6e-06,2.20473539,1e-08,2021MNRAS.503.4092B,0.618
HAT-P-08,6200,80.0,80.0,0.01,0.08,0.08,1.192,0.075,0.075,1.475,0.034,0.034,4.177,0.022,0.022,0.517,0.035,0.035,0.0,,,0.0439,0.00091,0.00091,1.275,0.053,0.053,1.321,0.04,0.04,18.11,0.82,0.82,0.371,0.022,0.022,1713.0,27.0,27.0,2009ApJ...704.1107L,2013A+A...551A..11M,TEP,22,52,9.86,35,26,49.6,10.3,8.95,0.1587,0.7,2454437.6742,0.0014,3.0763458,2.4e-06,2013A+A...551A..11M,0.2349
HAT-P-09,6350,150.0,150.0,0.12,0.2,0.2,1.28,0.1,0.1,1.339,0.08,0.08,4.293,0.046,0.046,0.534,0.082,0.082,0.0,,,0.0529,0.0014,0.0014,0.778,0.083,0.083,1.38,0.1,0.1,10.1,1.7,1.7,0.275,0.066,0.066,1540.0,53.0,53.0,2009ApJ...690.1393S,2012MNRAS.426.1291S,TEP,7,20,40.48,37,8,26.2,12.3,11.02,0.143,1.3,2454417.9084,0.0006,3.922814,2e-06,2012NewA...17..438D,0.52
HAT-P-11,4770,28.0,40.0,0.31,0.05,0.05,0.843,0.056,0.046,0.761,0.013,0.01,4.601,0.019,0.019,1.915,0.081,0.081,0.2646,0.0007,0.0005,0.05325,0.00116,0.00099,0.073,0.008,0.009,0.434,0.008,0.006,9.66,1.06,1.15,0.898,0.098,0.11,869.0,7.0,9.0,2010ApJ...710.1724B,2026MNRAS.545f2063M,TEP,19,50,50.25,48,4,51.1,9.47,7.01,0.098,0.43,2454957.813207,5e-06,4.88780244,3e-08,2024A+A...686A.127B,0.347
HAT-P-12,4665,45.0,45.0,-0.2,0.09,0.09,0.691,0.023,0.023,0.679,0.013,0.013,4.614,0.012,0.012,2.205,0.077,0.077,0.0,,,0.03767,0.00063,0.00063,0.201,0.012,0.012,0.919,0.023,0.023,5.89,0.34,0.34,0.242,0.017,0.017,955.0,11.0,11.0,2009ApJ...706..785H,2018A+A...613A..41M,TEP,13,57,33.47,43,29,36.8,12.8,10.11,0.0974,2.0,2456446.635829,3.6e-05,3.21305766,1.3e-07,2018A+A...620A.142A,0.211
HAT-P-13,5653,90.0,90.0,0.41,0.08,0.08,1.32,0.062,0.062,1.756,0.046,0.046,4.07,0.02,0.02,0.244,0.013,0.013,0.0133,0.0041,0.0041,0.04383,0.00068,0.00068,0.906,0.03,0.03,1.487,0.041,0.041,10.15,0.43,0.43,0.257,0.017,0.017,1725.0,31.0,31.0,2009ApJ...707..446B,2012MNRAS.420.2580S,TEP,8,39,31.81,47,21,7.3,10.62,8.97,0.1345,0.8,2456316.79044,0.00012,2.91624121,1.6e-07,2024MNRAS.530.2475Y,0.668
HAT-P-14,6600,90.0,90.0,0.11,0.08,0.08,1.418,0.054,0.054,1.591,0.056,0.056,4.187,0.025,0.025,0.352,0.031,0.031,0.107,0.013,0.013,0.06108,0.00077,0.00077,2.271,0.083,0.083,1.219,0.059,0.059,37.9,3.7,3.7,1.17,0.17,0.17,1624.0,32.0,32.0,2010ApJ...715..458T,2012MNRAS.426.1291S,TEP,17,20,27.87,38,14,31.9,10.0,8.85,0.0907,0.5,2459729.706791,9.4e-05,4.6276594,1e-06,2023PASP..135a8002E,0.891
HAT-P-15,5620,20.0,20.0,0.24,0.1,0.1,1.02,0.066,0.06,1.092,0.049,0.05,4.371,0.047,0.045,1.11,0.18,0.15,0.2,0.026,0.028,0.0964,0.0014,0.0014,1.946,0.066,0.066,1.072,0.043,0.043,41.7,2.9,2.9,1.48,0.17,0.17,904.0,20.0,20.0,2010ApJ...724..866K,2022A+A...664A.162M,TEP,4,24,59.52,39,27,38.2,12.16,9.64,0.2285,1.3,2454638.56019,0.00048,10.863502,3.7e-05,2010ApJ...724..866K,0.342
HAT-P-16,6110,67.0,67.0,0.18,0.07,0.07,1.22,0.03,0.03,1.25,0.01,0.01,4.33,0.01,0.01,0.63,0.01,0.01,0.035,0.003,0.003,0.0413,0.0003,0.0003,4.18,0.07,0.078,1.3,0.01,0.01,61.7,1.4,1.4,1.77,0.03,0.03,1617.0,18.0,18.0,2010ApJ...720.1118B,2025AJ....170..341S,TEP,0,38,17.56,42,27,47.0,10.8,9.55,0.1276,1.0,2456204.604299,6.9e-05,2.77596727,9e-08,2024MNRAS.530.2475Y,0.439
HAT-P-17,5350,20.0,20.0,0.02,0.09,0.09,0.886,0.038,0.038,0.86,0.024,0.024,4.516,0.027,0.027,1.39,0.12,0.12,0.3417,0.0036,0.0036,0.0892,0.0013,0.0013,0.558,0.018,0.018,1.015,0.041,0.041,13.4,1.0,1.0,0.499,0.058,0.058,800.0,11.0,11.0,2012ApJ...749..134H,2022A+A...664A.162M,TEP,21,38,8.88,30,29,19.4,10.54,8.54,0.1663,1.5,2454801.16943,0.00015,10.3385378,6e-07,2022A+A...664A.162M,0.311
HAT-P-18,4870,50.0,50.0,0.1,0.06,0.06,0.77,0.027,0.027,0.717,0.026,0.026,4.613,0.031,0.031,2.08,0.21,0.21,0.009,0.03,0.009,0.0559,0.0007,0.0007,0.196,0.008,0.008,0.947,0.044,0.044,5.42,0.55,0.55,0.216,0.032,0.032,841.0,15.0,15.0,2011ApJ...726...52H,2014A+A...564L..13E,TEP,17,5,23.28,33,0,45.0,12.76,10.23,0.1131,1.9,2454715.02254,0.00039,5.5080291,4.2e-06,2015MNRAS.451.4060S,0.324037
HAT-P-19,4962,39.0,41.0,0.166,0.07,0.068,0.807,0.034,0.03,0.773,0.011,0.01,4.5687,0.0066,0.0056,1.749,0.013,0.023,0.084,0.041,0.041,0.04599,0.00063,0.00058,0.277,0.017,0.016,1.008,0.014,0.013,6.76,0.37,0.36,0.253,0.014,0.014,981.0,8.0,8.0,2011ApJ...726...52H,2024MNRAS.528.1930K,TEP,0,38,4.02,34,42,41.7,12.9,10.55,0.11804,2.2,2456610.863945,7.1e-05,4.00878322,1.9e-07,2024MNRAS.528.1930K,0.404
HAT-P-20,4595,45.0,45.0,0.22,0.09,0.09,0.748,0.042,0.042,0.68,0.006,0.006,4.643,0.02,0.02,1.67,0.11,0.11,0.0172,0.0016,0.0016,0.03593,0.00029,0.00029,7.22,0.36,0.36,1.025,0.053,0.053,170.2,7.6,7.3,6.26,0.29,0.29,964.0,10.0,10.0,2011ApJ...742..116B,2017A+A...601A..53E,TEP,7,27,39.96,24,20,11.0,11.34,8.6,0.077,1.9,2456670.97803,0.0001,2.875317,4e-07,2022ExA....53..547K,0.631
HAT-P-21,5695,45.0,45.0,0.04,0.09,0.09,0.998,0.04,0.04,1.248,0.05,0.05,4.245,0.033,0.033,0.513,0.058,0.058,0.217,0.01,0.01,0.05037,0.00067,0.00067,4.23,0.16,0.16,1.13,0.057,0.057,82.1,8.1,8.1,2.74,0.4,0.4,1367.0,27.0,27.0,2011ApJ...742..116B,2022A+A...664A.162M,TEP,11,25,5.88,41,1,40.6,11.69,10.11,0.153,1.1,2454996.41243,0.0006,4.12449009,9e-07,2022A+A...664A.162M,0.546
HAT-P-22,5314,50.0,50.0,0.3,0.09,0.09,0.936,0.043,0.043,1.062,0.048,0.048,4.357,0.039,0.039,0.781,0.099,0.099,0.016,0.009,0.009,0.04171,0.00065,0.00065,2.192,0.077,0.077,1.06,0.073,0.073,48.3,6.6,6.6,1.72,0.35,0.35,1293.0,29.0,29.0,2011ApJ...742..116B,2018A+A...613A..41M,TEP,10,22,43.51,50,7,42.0,9.73,7.84,0.1196,1.5,2454891.67399,0.00013,3.21223265,1e-07,2023ApJS..268....2S,0.466
HAT-P-23,5885,72.0,72.0,0.13,0.08,0.08,1.104,0.047,0.047,1.089,0.028,0.028,4.407,0.018,0.018,0.855,0.051,0.051,0.0,,,0.02302,0.00032,0.00032,2.07,0.12,0.12,1.224,0.037,0.037,34.3,2.4,2.4,1.057,0.097,0.097,1951.0,30.0,30.0,2011ApJ...742..116B,2015A+A...577A..54C,TEP,20,24,29.99,16,45,43.7,12.43,10.79,0.0908,1.8,2457742.573862,2.9e-05,1.21288641,0.0,arXiv:2602.01446,0.324
HAT-P-24,6373,80.0,80.0,-0.16,0.08,0.08,1.186,0.042,0.041,1.294,0.071,0.062,4.286,0.038,0.039,0.545,0.078,0.072,0.052,0.022,0.017,0.04641,0.00054,0.00054,0.681,0.031,0.03,1.243,0.072,0.061,10.9,1.1,1.1,0.354,0.056,0.053,1624.0,44.0,41.0,2010ApJ...725.2017K,2010ApJ...725.2017K,TEP,7,15,18.0,14,15,45.4,11.75,10.54,0.1539,1.2,2455216.97744,0.00039,3.35524431,3.4e-07,2023AcA....73..159M,0.189
HAT-P-25,5500,80.0,80.0,0.31,0.08,0.08,1.012,0.053,0.051,0.919,0.034,0.034,4.516,0.026,0.025,1.3,0.12,0.11,0.023,0.022,0.014,0.0466,0.00081,0.0008,0.569,0.022,0.023,1.135,0.048,0.048,10.94,0.86,0.78,0.364,0.044,0.038,1182.0,25.0,25.0,2012ApJ...745...80Q,2018PASP..130f4401W,TEP,3,13,44.51,25,11,50.7,13.19,10.81,0.113,1.9,2457006.91299,0.00021,3.65281591,6.7e-07,2019A+A...622A..81M,0.45607
HAT-P-26,5110,33.0,51.0,0.05,0.1,0.1,0.898,0.064,0.04,0.837,0.018,0.011,4.568,0.011,0.008,1.653,0.02,0.02,0.124,0.06,0.06,0.02742,0.00063,0.00041,0.048,0.009,0.009,0.596,0.015,0.012,3.37,0.61,0.63,0.228,0.041,0.044,1081.0,41.0,35.0,2011ApJ...728..138H,2026MNRAS.545f2063M,TEP,14,12,37.54,4,3,36.1,11.74,9.58,0.1023,0.6,2455304.652182,3.2e-05,4.23450158,1.8e-07,2022A+A...664A.162M,0.303
HAT-P-27,5316,55.0,55.0,0.3,0.03,0.03,0.945,0.035,0.035,0.898,0.054,0.039,4.51,0.04,0.04,,,,0.078,0.047,0.047,0.0403,0.0005,0.0005,0.66,0.033,0.033,1.038,0.077,0.058,15.1,1.7,1.7,0.59,0.1,0.1,1207.0,41.0,41.0,2011ApJ...734..109B,2011ApJ...734..109B,TEP,14,51,4.19,5,56,50.5,12.16,10.11,0.0705,1.5,2455186.01991,0.00044,3.0395803,1.5e-06,2015MNRAS.451.4060S,0.87
HAT-P-28,5680,90.0,90.0,0.12,0.08,0.08,1.025,0.047,0.047,1.103,0.091,0.069,4.36,0.06,0.06,,,,0.051,0.033,0.033,0.0434,0.0007,0.0007,0.626,0.037,0.037,1.212,0.113,0.082,10.5,1.5,1.5,0.35,0.07,0.07,1384.0,52.0,52.0,2011ApJ...733..116B,2011ApJ...733..116B,TEP,0,52,0.18,34,43,42.3,13.03,11.1,0.1341,1.5,2457713.934,0.0005,3.2572124,1.2e-06,2022ExA....53..547K,0.299
HAT-P-29,6140,30.0,30.0,0.25,0.08,0.08,1.206,0.049,0.054,1.272,0.032,0.044,4.311,0.026,0.02,0.586,0.049,0.039,0.104,0.021,0.018,0.06667,0.00091,0.001,0.773,0.05,0.05,1.105,0.031,0.037,15.7,1.3,1.2,0.536,0.056,0.053,1281.0,23.0,26.0,2011ApJ...733..116B,2022A+A...664A.162M,TEP,2,12,31.46,51,46,43.5,11.9,10.3,0.1463,0.9,2455838.596462,0.00065,5.7233746,3.4e-06,2022A+A...664A.162M,0.591
HAT-P-30,6338,42.0,42.0,0.12,0.03,0.03,1.242,0.041,0.041,1.215,0.051,0.051,4.36,0.03,0.03,,,,0.035,0.024,0.024,0.0419,0.0005,0.0005,0.711,0.028,0.028,1.417,0.033,0.033,9.8,0.9,0.9,0.28,0.04,0.04,1630.0,42.0,42.0,2011ApJ...735...24J,2022MNRAS.513.3444B,TEP,8,15,47.98,5,50,12.3,10.36,9.15,0.09404,1.2,2457775.212778,7.7e-05,2.8106007,1.3e-07,2024MNRAS.530.2475Y,0.854
HAT-P-31,6065,100.0,100.0,0.15,0.08,0.08,1.218,0.089,0.063,1.36,0.27,0.18,4.26,0.11,0.13,0.49,0.17,0.18,0.245,0.0045,0.0045,0.055,0.015,0.015,2.171,0.105,0.077,1.07,0.24,0.16,41.0,17.0,21.0,1.64,0.93,0.7,1450.0,230.0,110.0,2011AJ....142...95K,2011AJ....142...95K,TEP,18,6,9.0,26,25,36.0,11.66,10.08,0.214,0.51,2458169.941,0.0017,5.0052724,6.3e-06,2019A+A...622A..81M,0.57
HAT-P-32,6269,64.0,64.0,-0.04,0.08,0.08,1.238,0.047,0.085,1.244,0.016,0.03,4.341,0.006,0.01,0.6435,0.0032,0.0032,0.0,,,0.03448,0.00048,0.00048,0.585,0.031,0.031,1.833,0.024,0.043,6.63,1.18,1.22,0.146,0.027,0.027,1836.0,28.0,12.0,2011ApJ...742...59H,2026MNRAS.545f2063M,TEP,2,4,10.27,46,41,16.2,11.29,9.99,0.12959,3.0,2454420.447196,5.1e-05,2.1500082,3e-08,2022AJ....164..220H,0.117
HAT-P-33,6446,88.0,88.0,0.07,0.08,0.08,1.375,0.04,0.04,1.637,0.034,0.034,4.15,0.01,0.01,,,,0.0,,,0.0499,0.0005,0.0005,0.762,0.101,0.101,1.686,0.045,0.045,6.6,1.0,1.0,0.15,0.02,0.02,1782.0,28.0,28.0,2011ApJ...742...59H,2011ApJ...742...59H,TEP,7,32,44.2,33,50,6.2,11.19,10.0,0.1839,1.2,2456035.13775,0.00027,3.47447472,8.8e-07,2017AJ....154...49W,0.325
HAT-P-34,6442,88.0,88.0,0.22,0.04,0.04,1.392,0.047,0.047,1.535,0.135,0.102,4.21,0.06,0.06,,,,0.441,0.032,0.032,0.0677,0.0008,0.0008,3.328,0.211,0.211,1.197,0.128,0.092,58.0,11.0,11.0,1.81,0.47,0.47,1520.0,60.0,60.0,2012AJ....144...19B,2012AJ....144...19B,TEP,20,12,46.88,18,6,17.5,10.16,9.25,0.1455,0.8,2458686.82646,0.00025,5.4526482,1.8e-06,2024ApJS..274...13S,0.336
HAT-P-35,6178,45.0,45.0,0.12,0.03,0.03,1.236,0.048,0.048,1.435,0.084,0.084,4.21,0.04,0.04,,,,0.025,0.018,0.018,0.0498,0.0006,0.0006,1.054,0.033,0.033,1.332,0.098,0.098,14.8,2.1,2.1,0.41,0.08,0.08,1581.0,45.0,45.0,2012AJ....144...19B,2012AJ....144...19B,TEP,8,13,0.18,4,47,13.2,12.46,11.03,0.164,1.2,2456836.75811,0.00041,3.6466566,1.2e-06,2019A+A...622A..81M,0.357
HAT-P-36,5620,40.0,40.0,0.25,0.09,0.09,1.03,0.042,0.042,1.041,0.016,0.016,4.416,0.011,0.011,0.913,0.027,0.027,0.0,0.095,0.0,0.02388,0.00032,0.00032,1.852,0.095,0.095,1.304,0.025,0.025,27.0,1.4,1.4,0.737,0.095,0.095,1788.0,15.0,15.0,2012AJ....144...19B,2015A+A...579A.136M,TEP,12,33,3.9,44,54,55.2,12.26,10.6,0.0923,1.9,2457402.22999,5e-05,1.32734697,0.0,2025AJ....169..342W,0.312
HAT-P-37,5500,100.0,100.0,0.03,0.1,0.1,0.929,0.043,0.043,0.877,0.059,0.077,4.52,0.05,0.05,,,,0.058,0.038,0.038,0.0379,0.0006,0.0006,1.169,0.103,0.103,1.178,0.077,0.07,21.0,3.0,3.0,0.67,0.14,0.14,1271.0,47.0,47.0,2012AJ....144...19B,2012AJ....144...19B,TEP,18,57,11.05,51,16,8.8,13.23,11.67,0.0971,2.1,2457625.530538,5.6e-05,2.79744121,1.5e-07,2022MNRAS.512.2062B,0.505
HAT-P-38,5330,100.0,100.0,0.06,0.1,0.1,0.886,0.044,0.044,0.923,0.096,0.067,4.45,0.08,0.08,,,,0.067,0.047,0.047,0.0523,0.0009,0.0009,0.267,0.02,0.02,0.825,0.092,0.063,9.8,1.8,1.8,0.44,0.12,0.12,1082.0,55.0,55.0,2012PASJ...64...97S,2012PASJ...64...97S,TEP,2,21,31.97,32,14,46.1,12.56,10.5,0.1267,1.2,2457491.87585,9e-05,4.6403293,1.7e-06,2019A+A...622A..81M,0.372827
