System       , Teff , eup , edn , [Fe/H], eup  , edn  ,    K_A ,  eup ,  edn ,   i    , eup   , edn   ,  r_a    , errup   , errdown ,  r_b     , errup    , errdown  , light_curve_ref     , Overall_reference
TrES-4       , 6200 ,  75 ,  75 , +0.14 , 0.09 , 0.09 ,   97.4 ,  7.2 ,  7.2 , 82.33  , 0.47  , 0.47  , 0.1697  , 0.0064  , 0.0064  , 0.01650  , 0.00059  , 0.00059  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
WASP-01      , 6213 ,  51 ,  51 , +0.17 , 0.05 , 0.05 ,    125 ,    5 ,    5 , 88.0   , 2.0   , 2.0   , 0.1737  , 0.0057  , 0.0089  , 0.0182   , 0.0007   , 0.0011   , 2008MNRAS.386.1644S , 2012MNRAS.426.1291S
WASP-02      , 5170 ,  60 ,  60 , +0.04 , 0.05 , 0.05 ,  153.6 ,  3.0 ,  3.0 , 84.81  , 0.17  , 0.17  , 0.1238  , 0.0018  , 0.0018  , 0.01643  , 0.00030  , 0.00030  , 2010MNRAS.408.1680S , 2012MNRAS.426.1291S
WASP-03      , 6400 , 100 , 100 , +0.00 , 0.20 , 0.20 ,  286.5 ,  7.8 ,  7.8 , 83.72  , 0.39  , 0.39  , 0.1994  , 0.0032  , 0.0032  , 0.02125  , 0.00041  , 0.00041  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
WASP-04      , 5540 ,  55 ,  55 , -0.03 , 0.09 , 0.09 ,  242.1 ,  3.0 ,  3.0 , 89.0   , 1.0   , 1.0   , 0.1825  , 0.0011  , 0.0010  , 0.02812  , 0.00022  , 0.00014  , 2009MNRAS.399..287S , 2012MNRAS.426.1291S
WASP-05      , 5770 ,  65 ,  65 , +0.09 , 0.09 , 0.09 ,  268.7 ,  1.8 ,  1.8 , 85.8   , 1.1   , 1.1   , 0.1847  , 0.0061  , 0.0061  , 0.02050  , 0.00091  , 0.00091  , 2009MNRAS.396.1023S , 2012MNRAS.426.1291S
WASP-07      , 6520 ,  70 ,  70 , +0.00 , 0.10 , 0.10 ,     97 ,   13 ,   13 , 87.03  , 0.93  , 0.93  , 0.1102  , 0.0061  , 0.0061  , 0.01053  , 0.00070  , 0.00070  , 2010A+A...513L...7S , 2012MNRAS.426.1291S
WASP-10      , 4675 , 100 , 100 , +0.03 , 0.20 , 0.20 ,  533.1 ,  7.5 ,  7.5 , 88.81  , 0.40  , 0.40  , 0.0865  , 0.0041  , 0.0041  , 0.01349  , 0.00065  , 0.00065  , 2010MNRAS.408.1689S , 2010MNRAS.408.1689S
WASP-103     , 6110 , 160 , 160 , +0.06 , 0.13 , 0.13 ,    271 ,   15 ,   15 , 88.2   , 1.5   , 1.5   , 0.3319  , 0.0030  , 0.0019  , 0.03854  , 0.00041  , 0.00031  , arXiv:1608.00746    , arXiv:1608.00746   
WASP-12      , 6250 , 100 , 100 , +0.32 , 0.12 , 0.12 ,    226 ,    4 ,    4 , 83.3   , 1.1   , 1.1   , 0.3260  , 0.0052  , 0.0052  , 0.03777  , 0.00088  , 0.00088  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
WASP-13      , 5826 , 100 , 100 , +0.0  , 0.2  , 0.2  ,   55.7 ,  5.5 ,  5.5 , 84.88  , 0.45  , 0.45  , 0.1382  , 0.0049  , 0.0049  , 0.01310  , 0.00059  , 0.00059  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
WASP-14      , 6475 , 100 , 100 , +0.0  , 0.2  , 0.2  ,    990 ,    3 ,    3 , 81.1   , 1.5   , 1.5   , 0.2084  , 0.0099  , 0.0099  , 0.0210   , 0.0010   , 0.0010   , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
WASP-15      , 6405 ,  80 ,  80 , +0.00 , 0.10 , 0.10 ,   64.6 ,  1.2 ,  1.2 , 85.74  , 0.38  , 0.38  , 0.1370  , 0.0033  , 0.0033  , 0.01303  , 0.00039  , 0.00039  , 2013MNRAS.434.1300S , 2013MNRAS.434.1300S
WASP-16      , 5630 ,  70 ,  70 , +0.07 , 0.10 , 0.10 ,  116.7 ,  2.2 ,  2.2 , 83.99  , 0.26  , 0.26  , 0.1218  , 0.0030  , 0.0030  , 0.01402  , 0.00033  , 0.00033  , 2013MNRAS.434.1300S , 2013MNRAS.434.1300S
WASP-17      , 6550 , 100 , 100 , -0.25 , 0.09 , 0.09 ,   52.7 ,  2.9 ,  2.9 , 86.71  , 0.30  , 0.30  , 0.1436  , 0.0018  , 0.0018  , 0.01802  , 0.00030  , 0.00030  , 2012MNRAS.426.1338S , 2012MNRAS.426.1338S
WASP-18      , 6455 ,  70 ,  70 , +0.00 , 0.09 , 0.09 , 1816.7 ,  1.9 ,  1.9 , 85.0   , 2.1   , 2.1   , 0.2795  , 0.0084  , 0.0084  , 0.0272   , 0.0012   , 0.0012   , 2009ApJ...707..167S , 2012MNRAS.426.1291S
