AERONET_Site,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Month,440-870_Angstrom_Exponent,440-675_Angstrom_Exponent,340-440_Angstrom_Exponent,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Scattering_AOD[440nm],Scattering_AOD[675nm],Scattering_AOD[870nm],Scattering_AOD[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],count
ARM_Graciosa,39.09109,-28.02917,15.2,12,0.270128,0.2905325,-0.0602565,0.0632,0.0497,0.0465665,0.0447665,0.002872755,0.001826355,0.002517666,0.002812257,0.060327245,0.047873645,0.044048834,0.041954243,0.7591605,0.7466385,0.7633385,0.7661955,20
ARM_Highlands_MA,42.030478,-70.049317,47.8536,1,1.138306,1.255492,0.620793,0.0661,0.04425,0.03155,0.02565,0.003858941,0.003405864,0.003180483,0.00293479,0.062241059,0.040844136,0.028369517,0.02271521,0.720382,0.6526405,0.6479165,0.6612955,4
ARM_Highlands_MA,42.030478,-70.049317,47.8536,2,1.632067,1.714411,1.109459,0.0953,0.0475,0.0303,0.0231,0.005563647,0.003656013,0.003054473,0.002643028,0.089736353,0.043843987,0.027245527,0.020456972,0.688027,0.617122,0.601513,0.609631,1
ARM_Highlands_MA,42.030478,-70.049317,47.8536,3,1.3048775,1.161644,1.1376345,0.08495,0.0470335,0.0316165,0.0260165,0.004959411,0.003620107,0.003187187,0.002976724,0.079990589,0.043413393,0.028429313,0.023039776,0.690723,0.641226,0.625949,0.622166,8
ARM_Highlands_MA,42.030478,-70.049317,47.8536,4,1.175862,1.158315,1.17553,0.114233,0.068967,0.052967,0.04794,0.006668963,0.005308299,0.005339482,0.00548514,0.107564037,0.063658701,0.047627518,0.04245486,0.678642,0.646373,0.641113,0.645843,15
ARM_Highlands_MA,42.030478,-70.049317,47.8536,5,1.254701,1.297726,1.3673615,0.1141165,0.0645865,0.04622,0.0386235,0.006662161,0.004971138,0.004659332,0.004419176,0.107454339,0.059615362,0.041560668,0.034204324,0.6755485,0.630135,0.626069,0.632814,12
ARM_Highlands_MA,42.030478,-70.049317,47.8536,6,1.519571,1.495036,1.539276,0.132075,0.075967,0.0481,0.03774,0.007710585,0.00584708,0.004848851,0.004318089,0.124364415,0.07011992,0.043251149,0.033421911,0.674166,0.629569,0.612683,0.60555,9
ARM_Highlands_MA,42.030478,-70.049317,47.8536,7,1.840708,1.819445,1.248008,0.127925,0.0584,0.036225,0.028125,0.007468306,0.004494971,0.003651759,0.003217972,0.120456694,0.053905029,0.032573241,0.024907028,0.691909,0.627559,0.573562,0.543832,5
ARM_Highlands_MA,42.030478,-70.049317,47.8536,8,1.8043735,1.823177,1.2872685,0.1853125,0.102425,0.0638125,0.046325,0.010818609,0.007883517,0.006791919,0.005635026,0.174493891,0.094541483,0.054516633,0.038657008,0.6846615,0.6161765,0.5578375,0.529003,16
ARM_Highlands_MA,42.030478,-70.049317,47.8536,9,1.665503,1.780555,1.3841715,0.1001,0.0500625,0.0337,0.028846,0.005843873,0.003853245,0.00339722,0.003300466,0.094256127,0.046209255,0.03030278,0.025545534,0.684802,0.6254845,0.585555,0.5690335,14
ARM_Highlands_MA,42.030478,-70.049317,47.8536,10,1.4910045,1.709384,1.286999,0.054725,0.0302165,0.01979,0.0157415,0.003194865,0.002325724,0.001994984,0.001801092,0.051530135,0.027890776,0.017795016,0.013940408,0.691212,0.6294855,0.6022925,0.5896775,12
ARM_Highlands_MA,42.030478,-70.049317,47.8536,11,1.12493,1.239401,1.031788,0.0558,0.0346,0.0304,0.028333,0.003257624,0.002663116,0.003064554,0.003241771,0.052542376,0.031936884,0.027335446,0.025091229,0.708747,0.683237,0.663578,0.650436,5
ARM_Highlands_MA,42.030478,-70.049317,47.8536,12,1.413348,1.4529665,1.0029745,0.085375,0.044675,0.028425,0.022375,0.004984222,0.003438576,0.002865459,0.002560075,0.080390778,0.041236424,0.025559541,0.019814925,0.711455,0.6472915,0.615817,0.6020685,2
ARM_LaPorte,29.669,-95.059,7,1,1.771671,1.7674135,1.002668,0.063047,0.0328325,0.023269,0.0194765,0.000432977,0.000214241,0.000155127,0.000132231,0.062614023,0.032618259,0.023113873,0.019344269,0.6897005,0.6430625,0.6313445,0.629067,16
ARM_LaPorte,29.669,-95.059,7,2,1.695134,1.898614,1.085282,0.068,0.034837,0.0261,0.02275,0.000466992,0.000227321,0.000174,0.000154455,0.067533008,0.034609679,0.025926,0.022595545,0.671176,0.631807,0.626412,0.629363,13
ARM_LaPorte,29.669,-95.059,7,3,0.9040435,1.0979525,0.8514115,0.0936085,0.0607405,0.048525,0.043675,0.000642859,0.000396348,0.0003235,0.00029652,0.092965641,0.060344152,0.0482015,0.04337848,0.7075825,0.680509,0.690257,0.6895485,18
ARM_LaPorte,29.669,-95.059,7,4,0.709033,0.800381,0.7265395,0.1505925,0.103557,0.095827,0.089875,0.001034198,0.000675737,0.000638847,0.000610183,0.149558302,0.102881263,0.095188153,0.089264817,0.721644,0.7071635,0.713866,0.716524,12
ARM_LaPorte,29.669,-95.059,7,5,1.192348,1.3362125,1.2014925,0.16305,0.0952265,0.0726735,0.0645785,0.001119751,0.000621378,0.00048449,0.000438439,0.161930249,0.094605122,0.07218901,0.064140061,0.6832525,0.6597655,0.6720995,0.682868,10
ARM_LaPorte,29.669,-95.059,7,6,1.078205,1.2237025,1.1708825,0.1682355,0.098943,0.081543,0.0751715,0.001155362,0.00064563,0.00054362,0.000510358,0.167080138,0.09829737,0.08099938,0.074661142,0.700085,0.684694,0.689356,0.69907,18
ARM_LaPorte,29.669,-95.059,7,7,0.807846,0.95783,0.900147,0.111375,0.080875,0.07,0.0644,0.000764871,0.000527731,0.000466667,0.000437227,0.110610129,0.080347269,0.069533333,0.063962773,0.732816,0.7236595,0.735192,0.7376745,18
