Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
Kepler-282b,5602,155.0,155.0,-0.37,0.1,0.1,0.85,,,0.904,0.215,0.215,4.459,0.15,0.15,1.624,0.679,0.679,,,,,,,,,,0.09,0.022,0.022,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,58,42.55,44,47,51.6,15.35,13.65,0.202,0.01,2454971.05444,0.02523,9.220524,0.000341,2014ApJ...784...45R,0.02,0.00010466923368973766,15.881310420021357,14.789310420021359,14.419310420021358,13.486310420021358
Kepler-282c,5602,155.0,155.0,-0.37,0.1,0.1,0.85,,,0.904,0.215,0.215,4.459,0.15,0.15,1.624,0.679,0.679,,,,,,,,,,0.107,0.026,0.026,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,18,58,42.55,44,47,51.6,15.35,13.65,0.2322,0.02,2454974.77809,0.02213,13.638723,0.000491,2014ApJ...784...45R,0.07,0.00014794543907577858,15.881310420021357,14.789310420021359,14.419310420021358,13.486310420021358
Kepler-282d,5602,155.0,155.0,-0.37,0.1,0.1,0.85,,,0.904,0.215,0.215,4.459,0.15,0.15,1.624,0.679,0.679,,,,,,,,14.0,0.0,0.203,0.048,0.048,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,18,58,42.55,44,47,51.6,15.35,13.65,0.255,0.06,2454978.07291,0.00304,24.805787,0.000152,2014ApJ...784...45R,,0.0005325079569284445,15.881310420021357,14.789310420021359,14.419310420021358,13.486310420021358
Kepler-282e,5602,155.0,155.0,-0.37,0.1,0.1,0.85,,,0.904,0.215,0.215,4.459,0.15,0.15,1.624,0.679,0.679,,,,,,,,0.637,0.0,0.229,0.054,0.054,,,,,,,,,,2014ApJS..210...25X,2014ApJ...784...45R,KTEP,18,58,42.55,44,47,51.6,15.35,13.65,0.2683,0.08,2454994.31946,0.00359,44.346937,0.000309,2014ApJ...784...45R,,0.0006776492943115474,15.881310420021357,14.789310420021359,14.419310420021358,13.486310420021358
Kepler-283b,4351,100.0,100.0,-0.2,0.1,0.1,0.613,,,0.566,0.024,0.024,4.721,0.15,0.15,4.77,0.403,0.403,,,,,,,,,,0.19,0.023,0.023,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,27.29,47,50,20.4,16.3,13.13,0.087,0.14,2454976.22626,0.00142,11.008151,2.9e-05,2014ApJ...784...45R,0.51,0.0011899952454482489,17.226637735551638,15.421637735551638,14.846637735551637,13.257637735551636
Kepler-283c,4351,100.0,100.0,-0.2,0.1,0.1,0.613,,,0.566,0.024,0.024,4.721,0.15,0.15,4.77,0.403,0.403,,,,,,,,,,0.162,0.011,0.011,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,34,27.29,47,50,20.4,16.3,13.13,0.2616,0.11,2455006.31145,0.0073,92.743711,0.001413,2014ApJ...784...45R,0.44,0.0008651034687408268,17.226637735551638,15.421637735551638,14.846637735551637,13.257637735551636
Kepler-284b,5615,200.0,200.0,-0.14,0.5,0.5,0.918,,,0.814,0.356,0.356,4.58,0.3,0.3,2.402,0.844,0.844,,,,,,,,,,0.2,0.087,0.087,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,32,35.16,47,43,46.7,16.01,14.07,0.1175,0.08,2455017.98515,0.00361,12.699149,7.1e-05,2014ApJ...784...45R,0.24,0.0006375027583535636,16.51709457689965,15.42509457689965,15.05509457689965,14.122094576899649
Kepler-284c,5615,200.0,200.0,-0.14,0.5,0.5,0.918,,,0.814,0.356,0.356,4.58,0.3,0.3,2.402,0.844,0.844,,,,,,,,,,0.233,0.105,0.105,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,32,35.16,47,43,46.7,16.01,14.07,0.223,0.09,2455022.30068,0.00575,37.514456,0.00035,2014ApJ...784...45R,0.62,0.0008652346812064155,16.51709457689965,15.42509457689965,15.05509457689965,14.122094576899649
Kepler-285b,5411,200.0,200.0,-0.06,0.5,0.5,0.912,,,0.808,0.348,0.348,4.584,0.3,0.3,2.439,0.862,0.862,,,,,,,,,,0.12,0.052,0.052,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,33.82,48,3,56.2,15.37,13.31,0.0859,0.03,2454967.56281,0.00251,2.633867,1.2e-05,2014ApJ...784...45R,0.09,0.00023292207866056874,15.97376005995041,14.77376005995041,14.37676005995041,13.33576005995041
Kepler-285c,5411,200.0,200.0,-0.06,0.5,0.5,0.912,,,0.808,0.348,0.348,4.584,0.3,0.3,2.439,0.862,0.862,,,,,,,,,,0.1,0.044,0.044,,,,,,,,,,2014ApJ...784...45R,2014ApJ...784...45R,KTEP,19,25,33.82,48,3,56.2,15.37,13.31,0.1212,0.02,2454969.63351,0.00507,6.186676,5.9e-05,2014ApJ...784...45R,0.08,0.0001617514435142839,15.97376005995041,14.77376005995041,14.37676005995041,13.33576005995041
