Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
CoRoT-08,5080,80.0,80.0,0.31,0.05,0.05,0.89,0.04,0.04,0.802,0.014,0.014,4.58,0.01,0.01,1.73,0.26,0.26,0.0,,,0.0636,0.0014,0.0014,0.218,0.034,0.034,0.619,0.016,0.017,14.1,2.5,2.1,0.86,0.15,0.15,870.0,14.0,14.0,2010A+A...520A..66B,arXiv:1812.01536,TEP,19,26,21.24,1,25,35.2,14.76,11.46,0.114,0.7,2454239.03317,0.00049,6.212445,7e-06,arXiv:1812.01536,0.49,0.006290764801694407,15.502324822859277,14.122324822859277,13.680324822859276,12.454324822859277
CoRoT-09,5613,36.0,36.0,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420.0,16.0,16.0,2010Natur.464..384D,2017A+A...603A..43B,TEP,18,43,8.81,6,12,15.2,13.69,11.69,0.337,1.6,2455365.52723,0.00037,95.272656,6.8e-05,2017A+A...603A..43B,0.01,0.013020954759401014,14.282400387896582,13.190400387896581,12.82040038789658,11.88740038789658
CoRoT-10,5075,75.0,75.0,0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.2,0.47,0.47,0.53,0.04,0.04,0.106,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78.0,14.0,14.0,3.13,0.88,0.88,647.0,24.0,24.0,2010A+A...520A..65B,2011MNRAS.417.2166S,TEP,19,24,15.29,0,44,46.1,15.22,11.78,0.124,1.4,2454273.3436,0.0012,13.2406,0.0002,2010A+A...520A..65B,0.85,0.016938404738600407,15.94526366065989,14.565263660659891,14.123263660659891,12.897263660659892
CoRoT-11,6343,72.0,72.0,0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,0.0,,,0.044,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735.0,34.0,34.0,2010A+A...524A..55G,2011MNRAS.417.2166S,TEP,18,42,44.95,5,56,15.7,12.8,11.25,0.104,1.2,2454690.49838,0.00016,2.994325,2.1e-05,2012A+A...543L...5G,0.818,0.011374608881058549,13.197716951160189,12.437716951160189,12.160716951160188,11.528716951160188
CoRoT-12,5675,80.0,80.0,0.16,0.1,0.1,1.0,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.03,0.866,0.084,0.078,0.0,,,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12.0,1.4,1.2,0.337,0.064,0.062,1417.0,20.0,20.0,2010A+A...520A..97G,arXiv:1812.01536,TEP,6,43,3.76,-1,17,47.1,15.52,13.56,0.10726,1.9,2454398.62771,0.00024,2.82805268,6.5e-07,arXiv:1812.01536,0.609,0.017334784527563388,16.01525645924093,14.96725645924093,14.60825645924093,13.72025645924093
CoRoT-13,5945,90.0,90.0,0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.04,0.04,0.526,0.072,0.072,0.0,,,0.051,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432.0,39.0,39.0,2010A+A...522A.110C,2011MNRAS.417.2166S,TEP,6,50,53.07,-5,5,11.1,15.04,13.38,0.1308,1.0,2454790.8105,2306.0,4.0350906,5.5e-06,arXiv:2112.10535,0.374,0.010198603048026786,15.474867981511265,14.542867981511264,14.214867981511265,13.438867981511265
CoRoT-14,6035,100.0,100.0,0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,0.0,,,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183.0,27.0,27.0,6.8,1.5,1.5,1936.0,95.0,95.0,2011A+A...528A..97T,2011MNRAS.417.2166S,TEP,6,53,41.8,-5,32,9.7,16.03,13.81,0.0693,0.75,2454787.6694,0.0053,1.51214,0.00013,2011A+A...528A..97T,0.86,0.007728096205534031,16.3845442168287,15.520544216828702,15.212544216828702,14.492544216828701
CoRoT-16,5650,100.0,100.0,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,,,,0.33,0.16,0.11,,,,2012A+A...541A.149O,2012A+A...541A.149O,TEP,18,34,5.93,-6,0,9.3,15.63,12.85,0.122,0.9,2454923.9138,0.0022,5.35227,0.0002,2012A+A...541A.149O,0.825,0.010208188651189718,16.127403938744298,15.070403938744295,14.709403938744297,13.812403938744296
CoRoT-17,5740,80.0,80.0,0.0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,0.0,,,0.0481,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60.0,13.0,27.0,2.26,0.77,1.35,1610.0,210.0,70.0,2011A+A...531A..41C,2012MNRAS.426.1291S,TEP,18,34,47.82,-6,36,44.0,15.46,12.47,0.197,0.44,2454923.3093,0.0036,3.7681,0.0003,2011A+A...531A..41C,0.18,0.004080372375529457,15.944457899524725,14.915457899524723,14.561457899524724,13.693457899524724
CoRoT-18,5440,100.0,100.0,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,0.0,,,0.0288,0.0008,0.0008,3.3,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487.0,19.0,19.0,2011A+A...533A.130H,arXiv:1812.01536,TEP,6,32,41.36,0,1,53.7,15.0,13.01,0.0995,2.0,2455321.72565,0.00024,1.90009,5e-07,arXiv:1812.01536,0.4,0.01778765570720366,15.577519061724109,14.436519061724109,14.05451906172411,13.072519061724108
CoRoT-19,6090,70.0,70.0,-0.02,0.1,0.1,1.181,0.127,0.077,1.576,0.354,0.096,4.115,0.047,0.152,0.302,0.049,0.125,0.0,,,0.0512,0.0018,0.0011,1.09,0.093,0.078,1.19,0.26,0.069,19.1,2.4,6.2,0.6,0.11,0.27,1630.0,150.0,40.0,2012A+A...537A.136G,2012MNRAS.426.1291S,TEP,6,28,8.04,0,10,14.4,14.01,11.84,0.196,0.79,2455257.44102,0.0006,3.89713,2e-05,2012A+A...537A.136G,0.24,0.006020774798776187,14.438842826406674,13.574842826406675,13.266842826406675,12.546842826406674
CoRoT-20,5880,90.0,90.0,0.14,0.12,0.12,1.1,0.1,0.1,1.16,0.15,0.2,4.35,0.11,0.14,0.71,0.26,0.35,0.59,0.02,0.02,0.0891,0.0038,0.0038,4.14,0.36,0.3,1.0,0.18,0.21,102.0,42.0,35.0,3.9,2.1,2.4,1024.0,16.0,16.0,2012A+A...538A.145D,arXiv:1812.01536,TEP,6,30,52.9,0,13,36.9,14.66,12.51,0.0927,0.9,2455266.0006,0.0012,9.2431839,7.2e-06,arXiv:2112.10535,0.26,0.007847926160709682,15.116626983284963,14.172626983284964,13.840626983284963,13.054626983284964
CoRoT-21,6200,100.0,100.0,0.0,0.1,0.1,1.39,0.09,0.09,1.95,0.21,0.21,3.7,0.1,0.1,0.181,0.06,0.06,0.0,,,0.0417,0.0011,0.0011,2.26,0.33,0.33,1.27,0.14,0.14,,,,1.03,0.36,0.36,,,,2012A+A...545A...6P,2012A+A...545A...6P,TEP,6,44,12.59,0,17,56.9,16.0,13.81,0.198,0.5,2454399.0282,0.0009,2.72474,0.00014,2012A+A...545A...6P,0.257348357,0.004479289228865588,16.333644936970597,15.503644936970595,15.204644936970595,14.513644936970596
CoRoT-22,5939,54.0,120.0,0.17,0.07,0.12,1.099,0.049,0.049,1.136,0.038,0.09,4.361,0.065,0.029,0.729,0.19,0.071,0.0,0.78,0.0,0.092,0.0014,0.0014,,0.15,0.0,0.435,0.015,0.035,,,,,,,885.0,53.0,280.0,2014MNRAS.444.2783M,2014MNRAS.444.2783M,TEP,18,42,40.12,6,13,9.3,13.94,11.99,0.187,0.2,2454598.42014,0.00075,9.75598,0.00011,2014MNRAS.444.2783M,0.012,0.0015484341389932594,14.415044266690465,13.483044266690465,13.155044266690465,12.379044266690466
CoRoT-23,5900,100.0,100.0,0.05,0.1,0.1,1.122,0.092,0.072,1.74,0.26,0.16,4.008,0.076,0.107,0.214,0.064,0.066,0.16,0.02,0.02,0.04809,0.00128,0.00104,3.06,0.32,0.3,1.18,0.19,0.11,54.0,12.0,14.0,1.75,0.63,0.64,1710.0,110.0,80.0,2012A+A...537A..54R,2012MNRAS.426.1291S,TEP,18,39,7.82,4,21,28.1,15.63,12.36,0.162,0.45,2455308.939,0.001,3.6313,0.0001,2012A+A...537A..54R,0.56,0.0048566455049654025,16.051403938744297,15.107403938744296,14.775403938744295,13.989403938744296
CoRoT-24b,4950,150.0,150.0,0.3,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,,,0.056,0.002,0.002,,0.018,0.0,0.33,0.04,0.04,,,,0.0,0.68,0.0,1070.0,140.0,140.0,2014A+A...567A.112A,2014A+A...567A.112A,TEP,6,47,41.41,-3,43,9.5,13.2,12.92,0.119,0.024,2454789.611,0.006,5.1134,0.0006,2014A+A...567A.112A,0.854807382,0.001554897853187626,13.999562270237865,12.619562270237864,12.177562270237864,10.951562270237865
CoRoT-24c,4950,150.0,150.0,0.3,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,,,0.098,0.003,0.003,0.088,0.035,0.035,0.44,0.04,0.04,,,,0.98,0.38,0.3,850.0,80.0,80.0,2014A+A...567A.112A,2014A+A...567A.112A,TEP,6,47,41.41,-3,43,9.5,13.2,12.92,0.2,0.013,2454795.38,0.027,11.7594,0.0063,2014A+A...567A.112A,0.427647909,0.0027642628501113346,13.999562270237865,12.619562270237864,12.177562270237864,10.951562270237865
CoRoT-25,6040,90.0,90.0,-0.01,0.13,0.13,1.09,0.11,0.05,1.19,0.14,0.03,4.31,0.05,0.08,0.85,0.09,0.05,0.0,,,0.0578,0.002,0.0009,0.37,0.04,0.04,1.08,0.3,0.1,5.7,1.7,1.9,0.12,0.12,0.05,1330.0,80.0,40.0,2013A+A...555A.118A,2013A+A...555A.118A,TEP,18,42,31.13,6,30,50.0,14.97,12.85,0.08,0.5,2454576.2156,0.0008,4.86069,6e-05,2013A+A...555A.118A,0.94,0.008698101572611359,15.363619781866005,14.499619781866006,14.191619781866006,13.471619781866005
CoRoT-26,5590,100.0,100.0,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.18,0.09,3.99,0.05,0.08,0.573,0.006,0.04,0.0,,,0.0526,0.001,0.001,0.52,0.05,0.05,1.26,0.13,0.07,7.8,1.6,1.5,0.23,0.07,0.06,1600.0,80.0,70.0,2013A+A...555A.118A,2013A+A...555A.118A,TEP,18,39,0.13,6,58,11.7,15.76,13.26,0.228,0.6,2454573.6299,0.0008,4.20474,5e-05,2013A+A...555A.118A,0.33,0.005232459974995338,16.276450698105762,15.184450698105763,14.814450698105762,13.881450698105763
CoRoT-27,5900,120.0,120.0,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.18,0.06,4.4,0.1,0.1,0.97,0.1,0.08,0.0,0.065,0.0,0.0476,0.0066,0.0066,10.39,0.55,0.55,1.007,0.044,0.044,,,,9.5,1.45,1.26,1500.0,130.0,130.0,2014A+A...562A.140P,2014A+A...562A.140P,TEP,18,33,59.0,5,32,18.5,15.54,12.98,0.115,1.0,2455748.684,0.001,3.57532,6e-05,2014A+A...562A.140P,0.54,0.009180837844941277,15.96470609916998,15.020706099169981,14.68870609916998,13.902706099169981
CoRoT-28,5150,100.0,100.0,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,3.94,0.12,0.12,0.191,0.004,0.004,0.047,0.055,0.038,0.059,0.0027,0.0027,0.484,0.087,0.087,0.955,0.066,0.066,13.2,5.0,3.6,0.52,0.2,0.2,,,,2015A+A...579A..36C,2015A+A...579A..36C,TEP,18,34,45.21,5,34,25.7,13.78,11.03,0.238,0.3,2455755.8466,0.0029,5.20851,0.00038,2015A+A...579A..36C,0.24,0.003039748306780744,14.512098227470894,13.205098227470893,12.782098227470893,11.631098227470893
CoRoT-29,5260,100.0,100.0,0.2,0.1,0.1,0.97,0.14,0.14,0.9,0.12,0.12,4.52,0.19,0.19,1.29,0.03,0.03,0.082,0.081,0.081,0.039,0.002,0.002,0.85,0.2,0.2,0.9,0.16,0.16,26.0,14.0,9.0,1.09,0.56,0.56,,,,2015A+A...579A..36C,2015A+A...579A..36C,TEP,18,35,36.5,6,28,47.0,15.56,13.05,0.0913,0.6,2456870.53809,0.00075,2.8505615,7.2e-06,2016A+A...589A..62B,0.43,0.010560169441850946,16.195605379028088,14.936605379028087,14.526605379028087,13.426605379028087
CoRoT-30,5650,100.0,100.0,0.02,0.1,0.1,0.98,0.03,0.05,0.91,0.09,0.03,4.4,0.1,0.1,,,,0.007,0.031,0.031,0.0844,0.0012,0.0012,2.9,0.22,0.22,1.009,0.076,0.076,,,,2.6,0.49,0.49,,,,2020A+A...635A.122B,2020A+A...635A.122B,TEP,18,30,24.26,6,50,9.4,15.27,13.56,0.16,1.4,2455665.5146,0.0012,9.06005,0.00024,2020A+A...635A.122B,0.0,0.012982861810806727,15.780612580447045,14.723612580447044,14.362612580447045,13.465612580447045
CoRoT-31,5700,120.0,120.0,0.0,0.1,0.1,1.25,0.22,0.21,2.15,0.56,0.66,3.85,0.25,0.25,,,,0.02,0.16,0.16,0.0586,0.0034,0.0034,0.84,0.34,0.34,1.46,0.3,0.3,,,,0.25,0.14,0.14,,,,2020A+A...635A.122B,2020A+A...635A.122B,TEP,6,19,16.98,-4,25,20.2,15.06,13.43,0.15,0.5,2455843.9445,0.0044,4.62941,0.00075,2020A+A...635A.122B,0.87,0.004869671645700265,15.572317621440318,14.524317621440318,14.165317621440318,13.277317621440318
CoRoT-32,5970,100.0,100.0,0.0,0.2,0.2,1.08,0.08,0.07,0.79,0.08,0.09,4.67,0.11,0.08,,,,0.0,,,0.071,0.001,0.001,0.15,0.1,0.1,0.57,0.06,0.05,13.0,38.0,6.0,0.8,1.0,0.6,938.0,65.0,52.0,2018MNRAS.473..710B,2018MNRAS.473..710B,TEP,6,40,46.84,9,15,26.8,14.47,12.19,0.104,0.29,2455901.811,0.002,6.71837,1e-05,2018MNRAS.473..710B,0.337279531,0.005497514904113717,14.925781664207289,13.993781664207289,13.66578166420729,12.88978166420729
DS_Tuc,5598,28.0,59.0,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,4.6,0.15,0.15,,,,,,,,,,,0.0453,0.0,0.5,0.02,0.02,,,,,,,,,,arXiv:1904.01591,arXiv:2103.12922,TEP,23,39,39.48,-69,11,44.7,8.23,6.68,0.13,0.4,2458332.30926,0.00037,8.138268,1.1e-05,arXiv:1906.10703,,0.003471985681527671,8.847716951160189,7.755716951160188,7.385716951160188,6.4527169511601885
EPIC_201170410,3648,172.0,143.0,-0.05,0.15,0.21,0.287,0.101,0.084,0.282,0.074,0.069,4.999,0.075,0.075,,,,0.0,,,0.0349,0.0027,0.0022,,,,0.094,0.025,0.023,,,,,,,,,,arXiv:2009.09285,arXiv:2009.09285,TEP,11,20,33.81,-4,48,25.2,16.44,12.86,0.077,0.14,2456813.1485,0.0006,6.7987,0.0001,arXiv:2009.09285,0.46,0.0011733521602056607,17.713684494913107,15.249684494913106,14.138684494913106,12.107684494913105
EPIC_201295312,5830,70.0,70.0,0.13,0.07,0.07,1.13,0.07,0.07,1.52,0.1,0.1,4.04,0.08,0.08,0.32,0.1,0.1,0.12,0.22,0.09,,,,,0.038,0.0,0.245,0.021,0.02,,,,0.0,2.5,0.0,,,,2016ApJ...820...56V,2016ApJ...820...56V,TEP,11,36,2.79,-2,31,15.2,12.19,10.69,0.19,0.03,2456811.7191,0.0049,5.65639,0.00075,2016ApJ...820...56V,0.43,0.00027435689523333756,12.707716951160187,11.763716951160188,11.431716951160187,10.645716951160187
EPIC_201498078,5513,51.0,51.0,0.26,0.03,0.03,1.104,0.02,0.018,1.669,0.022,0.021,4.032,0.015,0.015,,,,0.42,0.03,0.03,0.10376,0.00043,0.00051,0.179,0.02,0.02,0.84,0.011,0.011,,,,0.28,0.04,0.04,1066.0,11.0,13.0,arXiv:1806.04073,arXiv:1806.04073,TEP,11,35,45.24,4,36,59.2,15.02,12.15,0.076,0.02,2456811.637,0.0008,2.0478,0.0001,arXiv:2009.09285,,0.002674956878765185,15.572418341582212,14.466418341582212,14.093418341582213,13.147418341582213
EPIC_210363145,4970,45.0,45.0,0.29,0.06,0.06,0.8,0.12,0.12,0.76,0.03,0.03,4.47,0.13,0.13,1.8,0.3,0.3,0.14,0.22,0.09,,,,,1.9,0.0,0.205,0.014,0.014,,,,,,,,,,2017MNRAS.464..850G,2017MNRAS.464..850G,TEP,3,40,54.82,12,34,21.4,12.16,9.8,0.109,0.1,2457070.806,0.0018,8.1998,0.0007,2017MNRAS.464..850G,,0.000768336427967081,12.966716951160189,11.586716951160188,11.144716951160188,9.918716951160189
EPIC_211418729,5014,60.0,60.0,0.41,0.04,0.04,0.832,0.021,0.018,0.828,0.026,0.022,4.481,0.044,0.051,1.3,0.23,0.21,0.0,,,0.09309,0.00066,0.00059,1.85,0.23,0.22,0.942,0.032,0.02,,,,2.25,0.35,0.34,719.0,15.0,11.0,arXiv:1708.07128,arXiv:1708.07128,TEP,8,31,31.91,11,44,20.2,14.57,12.3,0.1627,1.6,2457174.49729,0.00033,11.39109,0.00018,arXiv:1708.07128,,0.013668221832187771,15.318929143710653,13.938929143710652,13.496929143710652,12.270929143710653
EPIC_211442297,5544,60.0,60.0,-0.23,0.04,0.04,0.831,0.023,0.019,0.881,0.049,0.05,4.461,0.057,0.041,1.01,0.31,0.2,0.137,0.072,0.074,0.1367,0.0012,0.001,0.84,0.18,0.2,1.114,0.057,0.061,,,,0.62,0.23,0.18,682.0,22.0,24.0,arXiv:1708.07128,arXiv:1708.07128,TEP,8,26,12.83,12,16,55.0,13.34,11.72,0.1679,1.7,2457157.15701,0.00025,20.273034,3.6e-05,arXiv:1708.07128,0.702,0.016884548484991206,13.954058669528383,12.848058669528383,12.475058669528384,11.529058669528384
EPIC_211682544,5372,73.0,73.0,-0.08,0.05,0.05,0.88,0.03,0.03,0.85,0.02,0.02,4.45,0.1,0.1,1.43,0.11,0.11,0.0,0.14,0.0,0.2573,0.0029,0.0029,0.0466,0.0098,0.0098,0.215,0.011,0.011,25.1,6.5,5.6,4.3,1.2,1.1,470.0,10.0,10.0,arXiv:1808.08187,arXiv:1808.08187,TEP,8,38,43.78,15,40,50.4,11.61,9.75,0.1453,0.06,2458111.1274,0.0012,50.818947,9.4e-05,arXiv:1808.08187,,0.0006756316020063116,12.300716951160187,11.100716951160187,10.703716951160187,9.662716951160187
EPIC_211916756,3410,65.0,65.0,,,,0.43,0.02,0.02,0.44,0.02,0.02,,,,5.16,0.77,0.67,0.0,,,,,,,,,0.33,0.02,0.02,,,,,,,,,,arXiv:1609.00726,arXiv:1609.00726,TEP,8,37,27.06,18,58,36.1,17.27,12.47,0.11,0.07,2457140.74073,0.00208,10.1351,0.0005,arXiv:1609.00726,,0.005940095311041157,18.57086433094002,15.947864330940018,14.60686433094002,12.42686433094002
EPIC_211945201,6025,100.0,100.0,0.1,0.1,0.1,1.18,0.03,0.04,1.38,0.017,0.018,4.25,0.1,0.1,0.45,0.03,0.02,0.0,,,0.148,0.004,0.004,0.085,0.044,0.04,0.55,0.09,0.09,6.9,3.6,3.2,0.49,0.26,0.23,886.0,17.0,17.0,2018AJ....156....3C,2018AJ....156....3C,TEP,9,6,17.75,19,24,8.1,10.15,8.84,0.163,0.15,2458113.93994,0.00039,19.49213,1e-05,2018AJ....156....3C,0.58,0.0016774056165510985,10.615716951160188,9.751716951160189,9.443716951160189,8.723716951160188
EPIC_211964830b,3580,70.0,70.0,0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,,,,4.5,0.4,0.4,0.0,0.5,0.0,,,,,,,0.203,0.018,0.013,,,,,,,489.0,12.0,13.0,arXiv:1808.07068,arXiv:1808.07068,TEP,8,45,26.05,19,41,54.5,16.55,12.18,0.078,0.2,2458102.09356,0.00046,5.83977,6.2e-05,arXiv:1808.07068,,0.001945094388877775,17.833281614345523,15.332281614345522,14.160281614345521,12.093281614345521
EPIC_211964830c,3580,70.0,70.0,0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,,,,4.5,0.4,0.4,0.0,0.45,0.0,,,,,,,0.247,0.018,0.016,,,,,,,326.0,8.0,9.0,arXiv:1808.07068,arXiv:1808.07068,TEP,8,45,26.05,19,41,54.5,16.55,12.18,0.122,0.3,2458096.93729,0.00074,19.66365,0.0003,arXiv:1808.07068,,0.0028796686056697367,17.833281614345523,15.332281614345522,14.160281614345521,12.093281614345521
EPIC_212737443b,4542,149.0,298.0,-0.47,0.3,0.25,0.615,0.049,0.089,0.57,0.054,0.095,4.708,0.088,0.04,2.28,1.06,0.36,0.3,0.1,0.1,0.098,0.004,0.004,0.029,0.008,0.008,0.231,0.011,0.011,,,,,,,536.0,18.0,18.0,2019MNRAS.488..536H,2019MNRAS.488..536H,TEP,13,36,53.21,-7,19,5.3,14.84,12.16,0.124,0.15,2457234.97,0.004,13.603,0.0013,2019MNRAS.488..536H,0.479,0.0017343835074995644,15.786022662433588,14.046022662433588,13.496022662433589,11.953022662433588
EPIC_212737443c,4542,149.0,298.0,-0.47,0.3,0.25,0.615,0.049,0.089,0.57,0.054,0.095,4.708,0.088,0.04,2.28,1.06,0.36,0.3,0.1,0.1,0.28,0.006,0.006,0.03,0.008,0.008,0.24,0.013,0.013,,,,,,,316.0,10.0,10.0,2019MNRAS.488..536H,2019MNRAS.488..536H,TEP,13,36,53.21,-7,19,5.3,14.84,12.16,0.192,0.16,2457227.79,0.005,65.55,0.0089,2019MNRAS.488..536H,0.567,0.0018721630035414421,15.786022662433588,14.046022662433588,13.496022662433589,11.953022662433588
EPIC_220501947,4444,70.0,70.0,0.14,0.12,0.12,0.74,0.04,0.04,0.71,0.04,0.04,,,,,,,0.0,,,0.0467,0.0007,0.0017,0.336,0.012,0.012,0.947,0.012,0.005,,,,0.394,0.019,0.019,850.0,16.0,7.0,arXiv:1807.05865,arXiv:1807.05865,TEP,1,18,26.38,6,49,0.7,13.95,11.14,0.1042,2.2,2457395.414046,2e-06,4.024866,1.4e-05,arXiv:1807.05865,,0.01878685776031919,14.963044266690465,13.158044266690466,12.583044266690464,10.994044266690464
EPIC_246067459,5630,78.0,78.0,0.34,0.04,0.04,1.19,0.08,0.08,1.59,0.16,0.16,4.11,0.07,0.07,0.055,0.0003,0.0002,0.0,,,0.046,0.007,0.006,0.86,0.13,0.12,1.3,0.15,0.14,,,,0.42,0.19,0.12,1587.0,75.0,76.0,arXiv:1801.07959,arXiv:1801.07959,TEP,23,10,49.04,-7,51,27.0,13.75,12.03,0.16,0.7,2457740.5036,0.0004,3.20466,3e-05,arXiv:1801.07959,,0.007059327699350539,14.31619894761279,13.25919894761279,12.89819894761279,12.00119894761279
EPIC_246193072,5282,40.0,39.0,0.098,0.065,0.07,0.901,0.048,0.049,0.822,0.026,0.024,4.566,0.013,0.021,1.63,0.09,0.11,0.07,0.041,0.04,0.1016,0.0018,0.0019,0.26,0.02,0.022,0.774,0.026,0.024,,,,0.523,0.015,0.017,650.0,53.0,70.0,arXiv:2010.14436,arXiv:2010.14436,TEP,23,24,32.49,-5,9,50.9,12.7,10.67,0.1509,1.1,2457773.157267,7.5e-05,12.4551225,3.1e-06,arXiv:2010.14436,0.364,0.009362873870842432,13.429716951160188,12.170716951160188,11.760716951160187,10.660716951160188
EPIC_246471491b,4975,95.0,95.0,0.0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,,,,0.0,,,0.03817,0.00095,0.00092,0.0305,0.0038,0.0043,0.231,0.005,0.005,14.2,1.9,2.0,2.31,0.34,0.34,1089.0,22.0,22.0,arXiv:1808.00575,arXiv:1808.00575,TEP,23,17,32.23,1,18,1.0,12.03,9.97,0.107,0.097,2457743.37545,0.00051,3.471745,4.5e-05,arXiv:1808.00575,,0.0009097988462235087,12.836716951160188,11.456716951160187,11.014716951160187,9.788716951160188
EPIC_246471491c,4975,95.0,95.0,0.0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,,,,0.0,,,0.0824,0.0018,0.0018,0.0493,0.0072,0.0067,0.315,0.007,0.007,12.3,1.9,1.7,1.47,0.24,0.21,741.0,15.0,15.0,arXiv:1808.00575,arXiv:1808.00575,TEP,23,17,32.23,1,18,1.0,12.03,9.97,0.128,0.21,2457744.53906,0.00038,7.138048,6.8e-05,arXiv:1808.00575,,0.0016917747140519788,12.836716951160188,11.456716951160187,11.014716951160187,9.788716951160188
EPIC_246471491d,4975,95.0,95.0,0.0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,,,,0.0,,,0.1178,0.0029,0.0029,,0.02,0.0,0.221,0.005,0.005,,,,,,,620.0,13.0,13.0,arXiv:1808.00575,arXiv:1808.00575,TEP,23,17,32.23,1,18,1.0,12.03,9.97,0.123,0.1,2457745.201,0.00075,10.45582,0.00024,arXiv:1808.00575,,0.0008327333717209643,12.836716951160188,11.456716951160187,11.014716951160187,9.788716951160188
EPIC_246471491e,4975,95.0,95.0,0.0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,,,,0.0,,,0.1804,0.0042,0.0043,,0.034,0.0,0.174,0.004,0.004,,,,,,,501.0,10.0,10.0,arXiv:1808.00575,arXiv:1808.00575,TEP,23,17,32.23,1,18,1.0,12.03,9.97,0.115,0.068,2457741.8969,0.0022,14.76289,0.00063,arXiv:1808.00575,,0.0005162022800971298,12.836716951160188,11.456716951160187,11.014716951160187,9.788716951160188
EPIC_246851721,6189,47.0,52.0,0.139,0.082,0.084,1.324,0.04,0.04,1.624,0.036,0.035,4.138,0.016,0.016,0.309,0.017,0.016,,,,0.07239,0.00072,0.00074,,5.75,0.0,1.004,0.048,0.049,0.0,147.0,0.0,0.0,5.9,0.0,1413.0,16.0,16.0,arXiv:1807.10298,arXiv:1807.10298,TEP,5,15,40.74,16,16,43.5,11.44,9.89,0.17116,0.55,2457858.92991,0.00017,6.180242,1.6e-05,arXiv:1807.10298,0.647,0.004036140375925474,11.883716951160187,11.053716951160187,10.754716951160187,10.063716951160186
